1,Fat/Oil Name,energy(Kcal),protein(g),saturated_fat(g),trans_fat(g),monounsat_fat(g),polyunsat_fat(g),cholesterol(mg),sodium(mg)
53,"Margarine-like, vegetable oil spread, 60% fat, stick/tub/bottle, with salt",526.0,0.6,10.0,7.37,20.3,24.7,1.0,700.0
54,"Margarine-like, vegetable oil spread, 60% fat, stick/tub/bottle, without salt",533.0,0.17,12.1,0.0,19.3,26.5,1.0,2.0
55,"Margarine-like, vegetable oil spread, 60% fat, stick/tub/bottle, without salt, with added vitamin D",542.0,0.17,12.1,0.0,19.3,26.5,1.0,2.0
56,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt",2230.0,0.17,12.1,3.66,19.3,26.5,1.0,615.0
57,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt, with added vitamin D",2230.0,0.17,12.1,3.66,19.3,26.5,1.0,785.0
0,"Margarine-like, vegetable oil spread, approximately 37% fat, unspecified oils, with salt, with added vitamin D",339.0,0.51,8.64,1.69,14.0,12.7,0.0,589.0
58,"Margarine-like, vegetable oil spread, fat free, liquid, with salt",43.0,1.5,0.416,0.0,0.74,1.76,1.0,833.0
59,"Margarine-like, vegetable oil spread, fat-free, tub",184.0,0.1,2.13,0.168,0.356,0.422,0.0,580.0
60,"Margarine-like, vegetable oil spread, stick or tub, sweetened",2230.0,0.0,8.35,0.0,17.0,23.8,0.0,542.0
61,"Margarine-like, vegetable oil-butter spread, reduced calorie, tub, with salt",450.0,1.0,16.7,0.0,19.7,11.3,71.0,607.0
62,"Margarine-like, vegetable oil-butter spread, tub, with salt",1520.0,1.0,7.24,0.0,18.4,12.6,0.0,786.0
63,"Mayonnaise dressing, no cholesterol",2880.0,0.0,10.8,0.0,18.0,45.5,0.0,486.0
64,"Mayonnaise, low sodium, low calorie or diet",231.0,0.3,3.3,0.0,4.5,10.6,24.0,110.0
65,"Mayonnaise, made with tofu",322.0,5.95,2.92,0.153,5.25,16.6,0.0,773.0
